Ticker,CCASS ID,Date,Shareholding,% of Total Issued Shares/Warrants/Units,DoD Change
24,B01858,2020/08/24,3105000,0.06074392545559462,0.0
24,B01198,2020/08/24,3019000,0.0590614850081933,0.0
24,C00100,2020/08/24,2648000,0.051803515171148014,0.0
24,B01875,2020/08/24,2620000,0.05125574386269177,0.0
24,B01289,2020/08/24,2602000,0.050903605164398465,0.0
24,B01705,2020/08/24,2482000,0.04855601384244311,0.0
24,B02022,2020/08/24,2330000,0.04558239816796634,0.0
24,B01372,2020/08/24,2308000,0.045152006425607856,0.0
24,B01868,2020/08/24,2120000,0.041474113354544484,0.0
24,B01511,2020/08/24,2116000,0.0413958603104793,0.0
24,B01328,2020/08/24,2006560,0.03925485702485602,0.0
24,B01581,2020/08/24,1982000,0.03877438333429583,0.0
24,B01540,2020/08/24,1974400,0.03862570255057199,0.0
24,B01252,2020/08/24,1930000,0.037757093761448514,0.0
24,B01445,2020/08/24,1900000,0.03717019593095968,0.0
24,B01264,2020/08/24,1865990,0.0365048494237955,-0.04031716166130183
24,B01563,2020/08/24,1768400,0.03459567078121531,0.0
24,B01320,2020/08/24,1740000,0.034040074168352544,0.0
24,B01937,2020/08/24,1738000,0.03400094764631996,0.0
24,B01451,2020/08/24,1716000,0.03357055590396147,0.0
24,B01756,2020/08/24,1500000,0.02934489152444185,0.0
24,B01277,2020/08/24,1480000,0.02895362630411596,0.0
24,B01294,2020/08/24,1471200,0.02878146960717257,0.0
24,B01169,2020/08/24,1455000,0.028464544778708595,0.0
24,B01407,2020/08/24,1440100,0.028173052189565805,0.0
24,B01684,2020/08/24,1432800,0.02803024038414685,0.0
24,B01290,2020/08/24,1391610,0.027224429662885682,0.0
24,B01129,2020/08/24,1348000,0.02637127584996508,0.0
24,B01547,2020/08/24,1320000,0.025823504541508824,0.0
24,B01843,2020/08/24,1312000,0.02566699845337847,0.0
24,B01450,2020/08/24,1278000,0.025001847578824454,0.0
24,B01341,2020/08/24,1250000,0.02445407627036821,0.0
24,B01897,2020/08/24,1202000,0.02351503974158607,0.0
24,B01762,2020/08/24,1181450,0.023113014727701213,0.0
24,B01829,2020/08/24,1172000,0.02292814191109723,0.0
24,B01123,2020/08/24,1144000,0.022380370602640986,0.0
24,B01501,2020/08/24,1130000,0.022106484948412858,0.0
24,B01947,2020/08/24,1126000,0.022028231904347682,0.0
24,B01356,2020/08/24,1080400,0.02113614720200465,0.0
24,B01209,2020/08/24,1016800,0.019891923801368314,0.0
24,B01789,2020/08/24,1011643,0.019791036064307283,0.0
24,B01318,2020/08/24,1010000,0.019758893626457514,0.0
24,B01329,2020/08/24,1000000,0.01956326101629457,0.0
24,B01428,2020/08/24,1000000,0.01956326101629457,0.0
24,B01857,2020/08/24,1000000,0.01956326101629457,0.0
24,B01973,2020/08/24,1000000,0.01956326101629457,0.0
24,B01351,2020/08/24,990000,0.019367628406131626,0.0
24,B01310,2020/08/24,972000,0.01901548970783832,0.0
24,B01940,2020/08/24,964000,0.018858983619707958,0.0
24,B01373,2020/08/24,940000,0.01838946535531689,0.0
24,B01588,2020/08/24,940000,0.01838946535531689,0.0
24,B01425,2020/08/24,920000,0.017998200134991003,0.0
24,B01696,2020/08/24,912000,0.017841694046860642,0.0
24,B01173,2020/08/24,880000,0.017215669694339214,0.0
24,B02056,2020/08/24,840000,0.01643313925368744,0.0
24,B01901,2020/08/24,818000,0.016002747511328953,0.0
24,B01324,2020/08/24,802400,0.01569756063947476,0.0
24,B01964,2020/08/24,800000,0.015650608813035653,0.0
24,B01666,2020/08/24,796000,0.015572355768970475,0.0
24,B01765,2020/08/24,784000,0.01533759663677494,0.0
24,B01632,2020/08/24,780000,0.01525934359270976,0.0
24,B01630,2020/08/24,764000,0.014946331416449047,0.0
24,B01585,2020/08/24,746000,0.014594192718155747,0.0
24,B01469,2020/08/24,728000,0.014242054019862447,0.0
24,B01535,2020/08/24,708800,0.013866439408349588,0.0
24,B02078,2020/08/24,700000,0.013694282711406195,0.0
24,B01646,2020/08/24,693000,0.013557339884292134,0.0
24,B01267,2020/08/24,692000,0.01353777662327584,0.0
24,B01514,2020/08/24,662000,0.012950878792787002,0.0
24,B01248,2020/08/24,660000,0.012911752270754412,0.0
24,B01676,2020/08/24,657000,0.012853062487705529,0.0
24,B01296,2020/08/24,635200,0.012426583397550308,0.0
24,B01659,2020/08/24,630000,0.012324854440265577,0.0
24,B01921,2020/08/24,608000,0.011894462697907095,0.0
24,B01662,2020/08/24,584000,0.011424944433516026,0.0
24,B01769,2020/08/24,583732,0.011419701479563659,0.0
24,B01274,2020/08/24,500000,0.009781630508147284,0.0
24,B01606,2020/08/24,500000,0.009781630508147284,0.0
24,B01607,2020/08/24,500000,0.009781630508147284,0.0
24,B01508,2020/08/24,497000,0.0097229407250984,0.0
24,B01788,2020/08/24,480895,0.009407874406430974,0.0
24,B01343,2020/08/24,462000,0.009038226589528091,0.0
24,B01362,2020/08/24,455000,0.008901283762414027,0.0
24,B01665,2020/08/24,450000,0.008803467457332554,0.0
24,B01712,2020/08/24,442000,0.008646961369202198,0.0
24,B01483,2020/08/24,424000,0.008294822670908895,0.0
24,B01604,2020/08/24,422000,0.008255696148876307,0.0
24,B01493,2020/08/24,400028,0.007825852177826283,0.0
24,C00040,2020/08/24,391000,0.007649235057371175,0.0
24,B01427,2020/08/24,390000,0.0076296717963548815,0.0
24,B01633,2020/08/24,390000,0.0076296717963548815,0.0
24,B01500,2020/08/24,380000,0.007434039186191934,0.0
24,B01608,2020/08/24,366000,0.0071601535319638105,0.0
24,B01714,2020/08/24,360000,0.007042773965866044,0.0
24,B01238,2020/08/24,340000,0.006651508745540153,0.0
24,B02075,2020/08/24,326000,0.006377623091312028,0.0
24,B01978,2020/08/24,324000,0.0063384965692794394,0.0
24,B01567,2020/08/24,322618,0.0063114601425549215,0.0
24,B01900,2020/08/24,314000,0.006142863959116494,0.0
24,B01743,2020/08/24,313756,0.006138090523428518,0.0
24,B01439,2020/08/24,302000,0.0059081048269209605,0.0
24,B01230,2020/08/24,300000,0.005868978304888368,0.0
24,B01776,2020/08/24,300000,0.005868978304888368,0.0
24,B01949,2020/08/24,300000,0.005868978304888368,0.0
24,B01904,2020/08/24,290000,0.0056733456947254245,0.0
24,B01455,2020/08/24,280000,0.005477713084562478,0.0
24,B02092,2020/08/24,260000,0.0050864478642365886,0.0
24,B01543,2020/08/24,250000,0.004890815254073642,0.0
24,B01685,2020/08/24,236000,0.004616929599845518,0.0
24,B01919,2020/08/24,236000,0.004616929599845518,0.0
24,B02132,2020/08/24,232000,0.0045386765557803395,0.0
24,B01416,2020/08/24,228000,0.0044604235117151605,0.0
24,B01749,2020/08/24,209000,0.004088721552405564,0.0
24,B01191,2020/08/24,200000,0.003912652203258913,0.0
24,B01510,2020/08/24,200000,0.003912652203258913,0.0
24,B01694,2020/08/24,200000,0.003912652203258913,0.0
24,B01809,2020/08/24,200000,0.003912652203258913,0.0
24,B02077,2020/08/24,200000,0.003912652203258913,0.0
24,B01417,2020/08/24,190000,0.003717019593095968,0.0
24,B01181,2020/08/24,180000,0.003521386982933021,0.0
24,B01773,2020/08/24,174000,0.003404007416835255,0.0
24,B01470,2020/08/24,170000,0.0033257543727700763,0.0
24,B01716,2020/08/24,166000,0.0032475013287048982,0.0
24,B01433,2020/08/24,159000,0.003110558501590836,0.0
