% of Total Issued Shares/Warrants/Units,CCASS ID,Date,DoD Change,Shareholding,Ticker
0.0,B01939,2020/07/16,-0.01,"2,371,200",1810
0.0,B02120,2020/07/16,0.0,"2,304,000",1810
0.0,B01298,2020/07/16,0.0,"2,301,400",1810
0.0,C00095,2020/07/16,-0.01,"2,294,842",1810
0.0,B01959,2020/07/16,0.0,"2,263,200",1810
0.0,B01897,2020/07/16,0.0,"2,245,583",1810
0.0,B01556,2020/07/16,-0.01,"2,192,000",1810
0.0,B02176,2020/07/16,0.0,"2,190,764",1810
0.0,B01246,2020/07/16,0.0,"2,120,000",1810
0.0,B01184,2020/07/16,0.0,"2,041,600",1810
0.0,B01121,2020/07/16,0.0,"2,034,841",1810
0.0,B01866,2020/07/16,0.0,"1,853,800",1810
0.0,B01685,2020/07/16,0.0,"1,752,400",1810
0.0,B01947,2020/07/16,0.0,"1,724,800",1810
0.0,B01119,2020/07/16,0.0,"1,628,200",1810
0.0,B01773,2020/07/16,0.0,"1,622,600",1810
0.0,B01438,2020/07/16,0.0,"1,614,600",1810
0.0,B01129,2020/07/16,0.0,"1,582,200",1810
0.0,B01275,2020/07/16,0.0,"1,528,800",1810
0.0,B01649,2020/07/16,0.0,"1,483,400",1810
0.0,B01137,2020/07/16,0.0,"1,309,800",1810
0.0,B01169,2020/07/16,0.0,"1,280,200",1810
0.0,B01937,2020/07/16,0.0,"1,195,800",1810
0.0,B01253,2020/07/16,0.0,"1,178,800",1810
0.0,B01265,2020/07/16,-0.01,"1,085,600",1810
0.0,B01181,2020/07/16,0.0,"1,073,600",1810
0.0,B01289,2020/07/16,0.0,"1,061,600",1810
0.0,B01514,2020/07/16,0.0,"859,600",1810
0.0,B02042,2020/07/16,0.0,"768,800",1810
0.0,B02102,2020/07/16,0.0,"758,400",1810
0.0,B01290,2020/07/16,0.0,"736,600",1810
0.0,B01843,2020/07/16,0.0,"729,600",1810
0.0,B01373,2020/07/16,0.0,"716,800",1810
0.0,B01256,2020/07/16,0.0,"703,400",1810
0.0,B01948,2020/07/16,0.0,"675,600",1810
0.0,B01252,2020/07/16,0.0,"655,200",1810
0.0,B02159,2020/07/16,0.0,"580,317",1810
0.0,B02181,2020/07/16,0.0,"569,000",1810
0.0,B01439,2020/07/16,0.0,"568,000",1810
0.0,B01356,2020/07/16,0.0,"552,800",1810
0.0,B01705,2020/07/16,0.0,"526,600",1810
0.0,B01563,2020/07/16,0.0,"520,800",1810
0.0,B01198,2020/07/16,0.0,"456,200",1810
0.0,B01340,2020/07/16,0.0,"454,055",1810
0.0,B01732,2020/07/16,0.0,"445,200",1810
0.0,B01715,2020/07/16,0.0,"437,800",1810
0.0,B01523,2020/07/16,0.0,"434,600",1810
0.0,B01230,2020/07/16,0.0,"420,800",1810
0.0,B01271,2020/07/16,0.0,"419,800",1810
0.0,B01710,2020/07/16,0.0,"411,200",1810
0.0,B01915,2020/07/16,0.0,"409,797",1810
0.0,B01551,2020/07/16,0.0,"409,400",1810
0.0,B01666,2020/07/16,0.0,"392,600",1810
0.0,B01809,2020/07/16,0.0,"388,600",1810
0.0,B01940,2020/07/16,0.0,"383,600",1810
0.0,B01259,2020/07/16,0.0,"382,600",1810
0.0,B01191,2020/07/16,0.0,"377,400",1810
0.0,B01450,2020/07/16,0.0,"345,200",1810
0.0,B01470,2020/07/16,0.0,"337,000",1810
0.0,B01508,2020/07/16,0.0,"295,200",1810
0.0,B01407,2020/07/16,0.0,"291,200",1810
0.0,B01416,2020/07/16,0.0,"287,400",1810
0.0,B02035,2020/07/16,0.0,"282,600",1810
0.0,B01433,2020/07/16,0.0,"277,402",1810
0.0,B01425,2020/07/16,0.0,"254,400",1810
0.0,B01351,2020/07/16,0.0,"252,800",1810
0.0,B02032,2020/07/16,0.0,"241,600",1810
0.0,B01696,2020/07/16,0.0,"239,400",1810
0.0,B01511,2020/07/16,0.0,"233,600",1810
0.0,B02107,2020/07/16,0.0,"231,200",1810
0.0,B01659,2020/07/16,0.0,"223,800",1810
0.0,B01324,2020/07/16,0.0,"207,800",1810
0.0,B01769,2020/07/16,0.0,"201,681",1810
0.0,B01731,2020/07/16,0.0,"199,200",1810
0.0,B01971,2020/07/16,0.0,"192,200",1810
0.0,B01779,2020/07/16,0.0,"191,400",1810
0.0,B01676,2020/07/16,0.0,"177,200",1810
0.0,B01415,2020/07/16,0.0,"174,800",1810
0.0,B01372,2020/07/16,0.0,"161,000",1810
0.0,B01343,2020/07/16,0.0,"159,400",1810
0.0,B02075,2020/07/16,0.0,"158,600",1810
0.0,B01814,2020/07/16,0.0,"155,800",1810
0.0,B01240,2020/07/16,0.0,"153,785",1810
0.0,B02003,2020/07/16,0.0,"136,000",1810
0.0,B01402,2020/07/16,0.0,"133,000",1810
0.0,B02021,2020/07/16,0.0,"129,600",1810
0.0,B01699,2020/07/16,0.0,"118,800",1810
0.0,B02056,2020/07/16,0.0,"101,400",1810
0.0,B01535,2020/07/16,0.0,"99,200",1810
0.0,B01824,2020/07/16,,"94,000",1810
0.0,B01831,2020/07/16,0.0,"92,800",1810
0.0,B01651,2020/07/16,0.0,"81,400",1810
0.0,B01559,2020/07/16,0.0,"81,200",1810
0.0,B02077,2020/07/16,0.0,"77,000",1810
0.0,B01765,2020/07/16,0.0,"75,800",1810
0.0,B01745,2020/07/16,0.0,"75,400",1810
0.0,B01963,2020/07/16,0.0,"74,400",1810
0.0,B01941,2020/07/16,0.0,"71,600",1810
0.0,B01213,2020/07/16,0.0,"70,800",1810
0.0,B01806,2020/07/16,0.0,"59,200",1810
0.0,B01110,2020/07/16,,"44,600",1810
0.0,B02093,2020/07/16,0.0,"30,034",1810
11.72,C00010,2020/07/15,-0.2599999999999998,"2,515,628,045",9988
3.8,C00019,2020/07/15,0.009999999999999787,"817,224,776",9988
2.89,C00100,2020/07/15,0.010000000000000231,"621,299,177",9988
0.79,C00039,2020/07/15,0.15000000000000002,"169,674,907",9988
0.36,C00074,2020/07/15,0.03999999999999998,"78,059,586",9988
0.32,C00002,2020/07/15,0.0,"69,267,600",9988
0.29,C00033,2020/07/15,0.009999999999999953,"62,542,012",9988
0.28,B01161,2020/07/15,0.0,"61,752,566",9988
0.27,B01274,2020/07/15,0.020000000000000018,"58,366,895",9988
0.19,C00093,2020/07/15,0.010000000000000009,"41,879,368",9988
0.18,B01451,2020/07/15,0.01999999999999999,"39,297,282",9988
0.13,B01284,2020/07/15,0.0,"29,795,948",9988
0.1,B01130,2020/07/15,0.0,"21,635,761",9988
0.08,B01224,2020/07/15,0.009999999999999995,"17,274,487",9988
0.05,B01590,2020/07/15,0.0,"10,860,320",9988
0.04,B01376,2020/07/15,0.0,"9,550,728",9988
0.04,B01089,2020/07/15,0.0,"9,055,826",9988
0.03,C00003,2020/07/15,0.0,"7,592,213",9988
0.03,B01955,2020/07/15,0.0,"7,015,922",9988
0.03,B01353,2020/07/15,0.0,"6,773,990",9988
0.03,C00016,2020/07/15,0.0,"6,714,255",9988
0.03,B01086,2020/07/15,0.009999999999999998,"6,528,468",9988
0.02,C00042,2020/07/15,0.0,"6,385,187",9988
0.02,C00088,2020/07/15,0.0,"5,853,769",9988
0.02,C00015,2020/07/15,0.0,"5,475,134",9988
0.02,B01143,2020/07/15,0.0,"5,223,800",9988
0.02,B01610,2020/07/15,0.01,"5,028,450",9988
0.02,B01491,2020/07/15,0.0,"4,642,610",9988
0.02,B01668,2020/07/15,0.0,"4,622,280",9988
0.01,C00028,2020/07/15,0.0,"3,928,717",9988
0.01,C00037,2020/07/15,0.0,"3,785,100",9988
0.01,B01565,2020/07/15,0.0,"3,727,048",9988
0.01,B01727,2020/07/15,0.0,"3,657,046",9988
0.01,B01345,2020/07/15,0.0,"3,417,195",9988
0.01,C00036,2020/07/15,0.0,"3,389,760",9988
0.01,B01842,2020/07/15,0.0,"3,381,477",9988
0.01,B01138,2020/07/15,0.0,"3,252,600",9988
0.01,B01148,2020/07/15,0.0,"2,731,500",9988
0.01,B01695,2020/07/15,0.0,"2,692,133",9988
0.01,B01265,2020/07/15,0.0,"2,332,800",9988
0.01,C00058,2020/07/15,0.0,"2,319,000",9988
0.01,B01938,2020/07/15,0.0,"2,311,655",9988
0.01,B01118,2020/07/15,0.0,"2,274,655",9988
0.0,B01228,2020/07/15,0.0,"2,129,900",9988
0.0,B01115,2020/07/15,0.0,"1,881,000",9988
0.0,B01826,2020/07/15,0.0,"1,858,806",9988
0.0,B01584,2020/07/15,0.0,"1,648,256",9988
0.0,B01183,2020/07/15,0.0,"1,632,563",9988
0.0,B01338,2020/07/15,0.0,"1,617,410",9988
0.0,B01654,2020/07/15,0.0,"1,609,597",9988
0.0,B01901,2020/07/15,0.0,"1,509,396",9988
0.0,B01277,2020/07/15,0.0,"1,312,100",9988
0.0,C00048,2020/07/15,0.0,"1,248,700",9988
0.0,B01824,2020/07/15,0.0,"1,166,800",9988
0.0,B01825,2020/07/15,0.0,"1,134,200",9988
0.0,B01929,2020/07/15,0.0,"1,080,600",9988
0.0,C00018,2020/07/15,0.0,"1,061,080",9988
0.0,B01389,2020/07/15,0.0,"1,000,500",9988
0.0,B01623,2020/07/15,0.0,"985,100",9988
0.0,B01217,2020/07/15,0.0,"972,800",9988
0.0,C00095,2020/07/15,0.0,"962,144",9988
0.0,B01939,2020/07/15,0.0,"955,100",9988
0.0,B01264,2020/07/15,0.0,"941,500",9988
0.0,B01848,2020/07/15,0.0,"904,700",9988
0.0,B01686,2020/07/15,0.0,"873,800",9988
0.0,B01858,2020/07/15,0.0,"842,900",9988
0.0,B01497,2020/07/15,0.0,"797,200",9988
0.0,B01347,2020/07/15,0.0,"772,690",9988
0.0,B01762,2020/07/15,0.0,"738,800",9988
0.0,B01818,2020/07/15,0.0,"680,233",9988
0.0,B01555,2020/07/15,0.0,"663,700",9988
0.0,B01967,2020/07/15,0.0,"631,400",9988
0.0,B01905,2020/07/15,0.0,"623,100",9988
0.0,C00102,2020/07/15,0.0,"566,800",9988
0.0,B01866,2020/07/15,0.0,"505,100",9988
0.0,B01272,2020/07/15,0.0,"486,400",9988
0.0,B01581,2020/07/15,0.0,"481,100",9988
0.0,B01830,2020/07/15,0.0,"480,400",9988
0.0,B02132,2020/07/15,0.0,"470,400",9988
0.0,B01673,2020/07/15,0.0,"460,400",9988
0.0,B01184,2020/07/15,0.0,"445,800",9988
0.0,B01893,2020/07/15,0.0,"432,600",9988
0.0,B01423,2020/07/15,0.0,"424,550",9988
0.0,B01959,2020/07/15,0.0,"401,300",9988
0.0,B01392,2020/07/15,0.0,"396,100",9988
0.0,B01829,2020/07/15,0.0,"383,095",9988
0.0,B01777,2020/07/15,0.0,"382,550",9988
0.0,C00041,2020/07/15,0.0,"378,000",9988
0.0,B01813,2020/07/15,0.0,"357,400",9988
0.0,B01427,2020/07/15,0.0,"325,100",9988
0.0,B01708,2020/07/15,0.0,"323,100",9988
0.0,B01413,2020/07/15,0.0,"307,600",9988
0.0,B01209,2020/07/15,0.0,"304,620",9988
0.0,B01885,2020/07/15,0.0,"304,300",9988
0.0,B01324,2020/07/15,0.0,"272,000",9988
0.0,B01556,2020/07/15,0.0,"270,110",9988
0.0,B01298,2020/07/15,0.0,"269,700",9988
0.0,B01904,2020/07/15,0.0,"268,738",9988
0.0,B01890,2020/07/15,0.0,"267,200",9988
0.0,B02037,2020/07/15,0.0,"251,900",9988
0.0,B01459,2020/07/15,0.0,"246,600",9988
0.0,B01470,2020/07/15,0.0,"246,500",9988
0.0,B01773,2020/07/15,0.0,"244,200",9988
0.0,B01121,2020/07/15,0.0,"239,372",9988
0.0,B01289,2020/07/15,0.0,"238,778",9988
0.0,B01246,2020/07/15,0.0,"229,800",9988
0.0,B01962,2020/07/15,0.0,"228,400",9988
0.0,B01137,2020/07/15,0.0,"226,500",9988
0.0,B01275,2020/07/15,0.0,"224,200",9988
0.0,B01110,2020/07/15,,"222,420",9988
0.0,B01133,2020/07/15,0.0,"211,828",9988
0.0,B01458,2020/07/15,0.0,"208,000",9988
0.0,B02163,2020/07/15,0.0,"200,000",9988
0.0,B01351,2020/07/15,0.0,"190,900",9988
0.0,B02176,2020/07/15,0.0,"184,300",9988
0.0,B01849,2020/07/15,0.0,"181,900",9988
0.0,B01564,2020/07/15,0.0,"165,600",9988
0.0,B01256,2020/07/15,0.0,"165,500",9988
0.0,B01715,2020/07/15,0.0,"164,400",9988
0.0,B01894,2020/07/15,0.0,"162,100",9988
0.0,B01373,2020/07/15,0.0,"150,800",9988
0.0,B01832,2020/07/15,0.0,"150,200",9988
0.0,B01169,2020/07/15,0.0,"147,200",9988
0.0,B01947,2020/07/15,0.0,"143,100",9988
0.0,B01971,2020/07/15,0.0,"140,700",9988
0.0,B01438,2020/07/15,0.0,"132,723",9988
0.0,B01540,2020/07/15,0.0,"125,300",9988
0.0,B01843,2020/07/15,0.0,"117,300",9988
0.0,B01198,2020/07/15,0.0,"114,100",9988
0.0,B02120,2020/07/15,0.0,"102,900",9988
0.0,B01320,2020/07/15,0.0,"99,700",9988
0.0,B02159,2020/07/15,0.0,"90,344",9988
0.0,B01439,2020/07/15,0.0,"84,700",9988
0.0,B01551,2020/07/15,0.0,"83,900",9988
0.0,B01546,2020/07/15,0.0,"80,500",9988
0.0,B01685,2020/07/15,0.0,"77,700",9988
0.0,B01323,2020/07/15,0.0,"69,700",9988
0.0,B01523,2020/07/15,0.0,"66,721",9988
0.0,B01941,2020/07/15,0.0,"64,466",9988
0.0,B01343,2020/07/15,0.0,"63,100",9988
0.0,B01552,2020/07/15,0.0,"58,000",9988
0.0,B01362,2020/07/15,0.0,"56,800",9988
0.0,B02093,2020/07/15,0.0,"55,001",9988
0.0,B01945,2020/07/15,0.0,"52,900",9988
0.0,B01271,2020/07/15,0.0,"46,800",9988
0.0,B02102,2020/07/15,0.0,"43,850",9988
0.0,B01340,2020/07/15,0.0,"43,105",9988
0.0,B01585,2020/07/15,0.0,"42,300",9988
0.0,B01676,2020/07/15,0.0,"36,900",9988
0.0,B01789,2020/07/15,0.0,"32,945",9988
0.0,B01769,2020/07/15,0.0,"32,660",9988
0.0,B01231,2020/07/15,0.0,"32,358",9988
0.0,B01974,2020/07/15,0.0,"31,100",9988
0.0,B01407,2020/07/15,0.0,"26,199",9988
0.0,B01238,2020/07/15,0.0,"25,700",9988
0.0,B01481,2020/07/15,0.0,"24,930",9988
0.0,B01724,2020/07/15,0.0,"20,950",9988
0.0,B01731,2020/07/15,0.0,"19,900",9988
0.0,B01677,2020/07/15,0.0,"18,200",9988
0.0,B01509,2020/07/15,0.0,"14,700",9988
0.0,B01645,2020/07/15,0.0,"13,500",9988
0.0,B01981,2020/07/15,0.0,"9,003",9988
27.22,C00019,2020/07/15,0.0,"2,601,055,353",700
11.22,C00100,2020/07/15,0.0,"1,072,404,810",700
5.43,C00010,2020/07/15,0.009999999999999787,"518,902,352",700
4.55,C00039,2020/07/15,-0.009999999999999787,"435,382,796",700
3.78,B01274,2020/07/15,0.0,"361,689,438",700
3.77,B01451,2020/07/15,0.0,"360,937,234",700
2.85,B01161,2020/07/15,0.0,"272,931,226",700
2.07,A00003,2020/07/15,0.009999999999999787,"198,219,704",700
1.47,B01130,2020/07/15,-0.030000000000000027,"140,674,849",700
1.26,C00093,2020/07/15,0.0,"120,507,000",700
1.21,C00074,2020/07/15,-0.010000000000000009,"116,047,102",700
1.0,A00004,2020/07/15,0.020000000000000018,"95,917,167",700
0.27,C00033,2020/07/15,-0.010000000000000009,"26,753,347",700
0.24,B01224,2020/07/15,0.009999999999999981,"23,083,715",700
0.2,B01565,2020/07/15,0.0,"19,515,360",700
0.19,B01590,2020/07/15,0.0,"19,066,572",700
0.19,B01955,2020/07/15,0.01999999999999999,"18,904,744",700
0.15,C00042,2020/07/15,0.0,"14,378,884",700
0.07,B01089,2020/07/15,0.0,"7,076,452",700
0.06,C00016,2020/07/15,0.0,"6,602,581",700
0.06,B01376,2020/07/15,0.0,"6,238,630",700
0.06,B01901,2020/07/15,0.0,"5,997,304",700
0.05,C00015,2020/07/15,0.0,"5,513,071",700
0.05,B01491,2020/07/15,0.010000000000000002,"5,273,603",700
0.05,B01148,2020/07/15,0.0,"4,927,600",700
0.04,B01086,2020/07/15,0.0,"4,103,932",700
0.03,C00088,2020/07/15,0.0,"3,731,477",700
0.03,C00003,2020/07/15,0.0,"3,642,083",700
0.03,B01143,2020/07/15,0.0,"3,396,769",700
0.03,B01413,2020/07/15,0.0,"3,364,555",700
0.03,C00028,2020/07/15,0.0,"3,181,495",700
0.03,C00036,2020/07/15,0.0,"2,920,197",700
0.02,B01353,2020/07/15,0.0,"2,685,660",700
0.02,C00037,2020/07/15,0.0,"2,638,547",700
0.02,B01581,2020/07/15,0.0,"2,563,090",700
0.02,B01345,2020/07/15,0.0,"2,379,656",700
0.02,B01115,2020/07/15,0.0,"2,229,426",700
0.02,B01842,2020/07/15,0.0,"2,140,663",700
0.02,B01777,2020/07/15,0.0,"2,057,350",700
0.02,B01727,2020/07/15,0.0,"2,039,134",700
0.02,B01654,2020/07/15,0.0,"2,003,729",700
0.02,B01686,2020/07/15,0.0,"1,926,190",700
0.02,B01338,2020/07/15,0.0,"1,921,705",700
0.01,B01826,2020/07/15,0.0,"1,898,359",700
0.01,B01938,2020/07/15,0.0,"1,851,158",700
0.01,C00041,2020/07/15,0.0,"1,754,958",700
0.01,C00002,2020/07/15,0.0,"1,748,096",700
0.01,C00058,2020/07/15,0.0,"1,745,647",700
0.01,B01762,2020/07/15,0.0,"1,605,711",700
0.01,B01695,2020/07/15,0.0,"1,539,310",700
0.01,B01668,2020/07/15,0.0,"1,530,413",700
0.01,B01825,2020/07/15,0.0,"1,451,000",700
0.01,B01610,2020/07/15,0.0,"1,431,250",700
0.01,B01228,2020/07/15,0.0,"1,371,010",700
0.01,B01118,2020/07/15,0.0,"1,271,189",700
0.01,B01256,2020/07/15,0.0,"1,233,600",700
0.01,B01773,2020/07/15,0.0,"1,176,000",700
0.01,B01272,2020/07/15,0.0,"1,159,420",700
0.01,B01905,2020/07/15,0.0,"1,125,200",700
0.01,B02132,2020/07/15,0.0,"1,114,944",700
0.01,B01947,2020/07/15,0.01,"994,984",700
0.0,C00095,2020/07/15,-0.01,"951,466",700
0.0,B01133,2020/07/15,0.0,"948,514",700
0.0,B01849,2020/07/15,0.0,"917,500",700
0.0,B01890,2020/07/15,0.0,"830,400",700
0.0,B01584,2020/07/15,0.0,"746,815",700
0.0,B01858,2020/07/15,0.0,"716,941",700
0.0,B01929,2020/07/15,0.0,"665,478",700
0.0,B01138,2020/07/15,0.0,"622,544",700
0.0,B01264,2020/07/15,0.0,"605,052",700
0.0,C00048,2020/07/15,0.0,"576,811",700
0.0,B01347,2020/07/15,0.0,"504,308",700
0.0,B01948,2020/07/15,0.0,"500,900",700
0.0,B01323,2020/07/15,0.0,"484,828",700
0.0,B01217,2020/07/15,0.0,"450,600",700
0.0,B01497,2020/07/15,0.0,"419,055",700
0.0,B01829,2020/07/15,0.0,"386,950",700
0.0,B01121,2020/07/15,0.0,"386,831",700
0.0,B01183,2020/07/15,0.0,"350,798",700
0.0,B01962,2020/07/15,0.0,"333,760",700
0.0,B01715,2020/07/15,0.0,"326,600",700
0.0,B01939,2020/07/15,0.0,"325,400",700
0.0,B01284,2020/07/15,0.0,"319,341",700
0.0,B01904,2020/07/15,0.0,"316,032",700
0.0,B01818,2020/07/15,0.0,"294,300",700
0.0,B01824,2020/07/15,0.0,"292,000",700
0.0,B01564,2020/07/15,0.0,"289,700",700
0.0,B01649,2020/07/15,0.0,"274,980",700
0.0,B01556,2020/07/15,0.0,"268,200",700
0.0,B01184,2020/07/15,0.0,"267,800",700
0.0,B01455,2020/07/15,0.0,"266,400",700
0.0,C00102,2020/07/15,0.0,"259,846",700
0.0,B02163,2020/07/15,0.0,"255,299",700
0.0,B01423,2020/07/15,0.0,"213,154",700
0.0,B01119,2020/07/15,0.0,"211,800",700
0.0,B01894,2020/07/15,0.0,"201,285",700
0.0,B01900,2020/07/15,0.0,"199,250",700
0.0,B01885,2020/07/15,0.0,"190,975",700
0.0,B01813,2020/07/15,0.0,"182,066",700
0.0,B01209,2020/07/15,0.0,"174,586",700
0.0,B01708,2020/07/15,0.0,"152,700",700
0.0,B01959,2020/07/15,0.0,"146,900",700
0.0,B02176,2020/07/15,0.0,"144,176",700
0.0,B01459,2020/07/15,0.0,"142,008",700
0.0,B01875,2020/07/15,0.0,"137,600",700
0.0,B01289,2020/07/15,0.0,"134,500",700
0.0,B01324,2020/07/15,0.0,"131,900",700
0.0,B01673,2020/07/15,0.0,"131,384",700
0.0,B01814,2020/07/15,0.0,"124,800",700
0.0,C00026,2020/07/15,0.0,"124,000",700
0.0,B01123,2020/07/15,0.0,"118,320",700
0.0,B01275,2020/07/15,0.0,"117,500",700
0.0,B01265,2020/07/15,0.0,"115,246",700
0.0,B01832,2020/07/15,0.0,"107,650",700
0.0,B01555,2020/07/15,0.0,"104,080",700
0.0,B01699,2020/07/15,0.0,"97,600",700
0.0,B01567,2020/07/15,0.0,"91,255",700
0.0,B01137,2020/07/15,0.0,"83,697",700
0.0,B01129,2020/07/15,0.0,"83,500",700
0.0,B01915,2020/07/15,0.0,"74,700",700
0.0,B01551,2020/07/15,0.0,"70,720",700
0.0,B01710,2020/07/15,0.0,"70,500",700
0.0,B01601,2020/07/15,0.0,"62,300",700
0.0,B01240,2020/07/15,0.0,"53,220",700
0.0,B01470,2020/07/15,0.0,"52,300",700
0.0,B01662,2020/07/15,0.0,"48,500",700
0.0,B01198,2020/07/15,0.0,"47,020",700
0.0,B01941,2020/07/15,0.0,"42,262",700
0.0,B01373,2020/07/15,0.0,"39,100",700
0.0,B01843,2020/07/15,0.0,"37,655",700
0.0,B01815,2020/07/15,0.0,"37,200",700
0.0,B01940,2020/07/15,0.0,"36,100",700
0.0,B01320,2020/07/15,0.0,"34,500",700
0.0,B01976,2020/07/15,0.0,"33,441",700
0.0,B01158,2020/07/15,0.0,"21,700",700
0.0,B02159,2020/07/15,0.0,"10,810",700
0.0,B01340,2020/07/15,0.0,"6,401",700
0.0,B01769,2020/07/15,0.0,"1,994",700
0.0,B01984,2020/07/15,0.0,"1,250",700
0.0,B01974,2020/07/15,0.0,739,700
0.0,B01914,2020/07/15,0.0,59,700
19.8,C00019,2020/07/15,0.019999999999999574,"1,163,979,452",3690
9.79,C00100,2020/07/15,-0.02000000000000135,"575,582,319",3690
8.03,C00010,2020/07/15,0.019999999999999574,"472,050,137",3690
7.59,B01224,2020/07/15,-0.009999999999999787,"446,425,769",3690
3.54,B01274,2020/07/15,0.03000000000000025,"208,295,817",3690
2.98,B01161,2020/07/15,-0.040000000000000036,"175,412,540",3690
2.77,B01451,2020/07/15,0.0,"163,183,327",3690
2.69,A00003,2020/07/15,-0.010000000000000231,"158,194,054",3690
2.42,C00039,2020/07/15,0.0,"142,388,744",3690
1.75,A00004,2020/07/15,0.040000000000000036,"103,314,754",3690
1.49,B01912,2020/07/15,0.0,"87,834,437",3690
0.74,C00074,2020/07/15,-0.040000000000000036,"43,552,942",3690
0.54,C00093,2020/07/15,0.0,"32,144,693",3690
0.41,B01955,2020/07/15,0.0,"24,678,779",3690
0.4,B01590,2020/07/15,0.0,"23,945,239",3690
0.3,B01130,2020/07/15,0.19,"18,100,215",3690
0.25,C00015,2020/07/15,0.0,"14,767,312",3690
0.14,C00033,2020/07/15,0.0,"8,454,046",3690
0.1,B01565,2020/07/15,0.0,"5,888,589",3690
0.09,B01376,2020/07/15,0.0,"5,556,300",3690
0.08,B01284,2020/07/15,0.0,"5,147,368",3690
0.08,B01491,2020/07/15,-0.009999999999999995,"5,091,469",3690
0.06,B01929,2020/07/15,0.0,"3,665,900",3690
0.05,B01901,2020/07/15,0.0,"3,164,969",3690
0.04,C00042,2020/07/15,0.0,"2,844,398",3690
0.04,B01353,2020/07/15,0.0,"2,471,469",3690
0.03,B01654,2020/07/15,0.0,"1,988,039",3690
0.03,C00036,2020/07/15,0.0,"1,791,100",3690
0.03,C00016,2020/07/15,0.0,"1,783,526",3690
0.03,B01089,2020/07/15,0.0,"1,782,512",3690
0.02,B01086,2020/07/15,0.0,"1,731,770",3690
0.02,B01121,2020/07/15,0.0,"1,579,217",3690
0.02,B01938,2020/07/15,0.0,"1,526,989",3690
0.02,B01143,2020/07/15,0.0,"1,503,100",3690
0.02,B01842,2020/07/15,0.0,"1,474,692",3690
0.02,C00088,2020/07/15,0.0,"1,418,011",3690
0.02,B01826,2020/07/15,0.0,"1,270,200",3690
0.02,B01148,2020/07/15,0.01,"1,217,555",3690
0.01,B01228,2020/07/15,-0.01,"1,145,804",3690
0.01,C00003,2020/07/15,0.0,"920,840",3690
0.01,B01115,2020/07/15,0.0,"908,500",3690
0.01,B01345,2020/07/15,0.0,"883,920",3690
0.01,B01695,2020/07/15,0.0,"872,788",3690
0.01,B01962,2020/07/15,0.0,"868,895",3690
0.01,B01272,2020/07/15,0.0,"835,800",3690
0.01,B01668,2020/07/15,0.0,"820,100",3690
0.01,B01610,2020/07/15,0.0,"775,700",3690
0.01,B01727,2020/07/15,0.0,"677,760",3690
0.01,C00058,2020/07/15,0.0,"621,400",3690
0.0,B01905,2020/07/15,0.0,"582,877",3690
0.0,B01138,2020/07/15,0.0,"472,832",3690
0.0,B01825,2020/07/15,0.0,"463,800",3690
0.0,B01890,2020/07/15,0.0,"449,600",3690
0.0,C00037,2020/07/15,0.0,"436,950",3690
0.0,C00028,2020/07/15,0.0,"435,600",3690
0.0,B01584,2020/07/15,0.0,"431,155",3690
0.0,B01686,2020/07/15,0.0,"380,500",3690
0.0,B01118,2020/07/15,0.0,"292,500",3690
0.0,B01900,2020/07/15,0.0,"270,000",3690
0.0,C00102,2020/07/15,0.0,"265,463",3690
0.0,B01885,2020/07/15,0.0,"255,200",3690
0.0,B01445,2020/07/15,0.0,"253,900",3690
0.0,B01119,2020/07/15,0.0,"221,800",3690
0.0,B02176,2020/07/15,0.0,"213,800",3690
0.0,B01904,2020/07/15,0.0,"206,762",3690
0.0,B01184,2020/07/15,0.0,"192,500",3690
0.0,B02142,2020/07/15,0.0,"169,975",3690
0.0,B01849,2020/07/15,0.0,"169,500",3690
0.0,B02120,2020/07/15,0.0,"161,240",3690
0.0,B01183,2020/07/15,0.0,"159,946",3690
0.0,B02102,2020/07/15,0.0,"158,900",3690
0.0,B02159,2020/07/15,0.0,"157,693",3690
0.0,B01264,2020/07/15,0.0,"157,200",3690
0.0,C00095,2020/07/15,0.0,"149,170",3690
0.0,B01818,2020/07/15,0.0,"135,052",3690
0.0,B01623,2020/07/15,0.0,"127,300",3690
0.0,B01673,2020/07/15,0.0,"122,000",3690
0.0,B01649,2020/07/15,0.0,"120,177",3690
0.0,B01265,2020/07/15,0.0,"109,800",3690
0.0,B01323,2020/07/15,0.0,"99,922",3690
0.0,B01459,2020/07/15,0.0,"90,300",3690
0.0,B01773,2020/07/15,0.0,"88,100",3690
0.0,B01169,2020/07/15,0.0,"87,300",3690
0.0,B01696,2020/07/15,0.0,"85,500",3690
0.0,B01813,2020/07/15,0.0,"82,700",3690
0.0,B01762,2020/07/15,0.0,"81,900",3690
0.0,B01866,2020/07/15,0.0,"68,700",3690
0.0,B01959,2020/07/15,0.0,"60,000",3690
0.0,B01941,2020/07/15,0.0,"50,217",3690
0.0,B01564,2020/07/15,0.0,"45,900",3690
0.0,B01289,2020/07/15,0.0,"42,073",3690
0.0,B01843,2020/07/15,0.0,"35,900",3690
0.0,B01298,2020/07/15,0.0,"25,900",3690
0.0,B01373,2020/07/15,0.0,"20,900",3690
0.0,B01209,2020/07/15,0.0,"18,250",3690
0.0,B01769,2020/07/15,0.0,"5,558",3690
0.0,B01407,2020/07/15,0.0,"4,303",3690
