% of Total Issued Shares/Warrants/Units,CCASS ID,Date,DoD Change,Shareholding,Ticker
0.0,B01256,2020/07/20,0.0,"160,500",9988
0.0,B01169,2020/07/20,0.0,"156,900",9988
0.0,B01947,2020/07/20,0.0,"148,200",9988
0.0,B01540,2020/07/20,0.0,"147,500",9988
0.0,B01708,2020/07/20,0.0,"147,300",9988
0.0,B01971,2020/07/20,0.0,"140,300",9988
0.0,B01373,2020/07/20,0.0,"140,000",9988
0.0,B01252,2020/07/20,0.0,"127,600",9988
0.0,B01438,2020/07/20,0.0,"120,340",9988
0.0,B01843,2020/07/20,0.0,"116,800",9988
0.0,B01973,2020/07/20,0.0,"115,900",9988
0.0,B01514,2020/07/20,0.0,"113,300",9988
0.0,B01696,2020/07/20,0.0,"108,200",9988
0.0,B02120,2020/07/20,0.0,"105,500",9988
0.0,B02042,2020/07/20,0.0,"103,200",9988
0.0,B01320,2020/07/20,0.0,"99,100",9988
0.0,B02159,2020/07/20,0.0,"96,665",9988
0.0,B01728,2020/07/20,0.0,"91,600",9988
0.0,B01198,2020/07/20,0.0,"88,700",9988
0.0,B01123,2020/07/20,0.0,"85,400",9988
0.0,B01551,2020/07/20,0.0,"84,800",9988
0.0,B01129,2020/07/20,0.0,"83,300",9988
0.0,B01685,2020/07/20,0.0,"80,800",9988
0.0,B01494,2020/07/20,0.0,"76,800",9988
0.0,B01523,2020/07/20,0.0,"68,921",9988
0.0,B01416,2020/07/20,0.0,"67,700",9988
0.0,B01941,2020/07/20,0.0,"67,161",9988
0.0,B01666,2020/07/20,0.0,"66,200",9988
0.0,B01633,2020/07/20,0.0,"66,100",9988
0.0,B01259,2020/07/20,0.0,"64,200",9988
0.0,B01788,2020/07/20,0.0,"62,000",9988
0.0,B01753,2020/07/20,0.0,"61,600",9988
0.0,B01433,2020/07/20,0.0,"61,100",9988
0.0,B01948,2020/07/20,0.0,"59,900",9988
0.0,B01402,2020/07/20,0.0,"59,800",9988
0.0,B02093,2020/07/20,0.0,"56,101",9988
0.0,B01700,2020/07/20,0.0,"53,100",9988
0.0,B01181,2020/07/20,0.0,"52,700",9988
0.0,B01857,2020/07/20,0.0,"51,900",9988
0.0,B01425,2020/07/20,0.0,"50,300",9988
0.0,B01340,2020/07/20,0.0,"48,203",9988
0.0,B01191,2020/07/20,0.0,"48,000",9988
0.0,B01937,2020/07/20,0.0,"47,900",9988
0.0,B01455,2020/07/20,0.0,"47,400",9988
0.0,B01271,2020/07/20,0.0,"46,300",9988
0.0,B02102,2020/07/20,0.0,"46,050",9988
0.0,B01710,2020/07/20,0.0,"43,900",9988
0.0,B01253,2020/07/20,0.0,"40,800",9988
0.0,B01789,2020/07/20,0.0,"40,714",9988
0.0,B01875,2020/07/20,0.0,"40,700",9988
0.0,B01769,2020/07/20,0.0,"39,150",9988
0.0,B01511,2020/07/20,0.0,"36,600",9988
0.0,B01213,2020/07/20,0.0,"35,600",9988
0.0,B01676,2020/07/20,0.0,"34,700",9988
0.0,B01567,2020/07/20,0.0,"33,700",9988
0.0,B01231,2020/07/20,0.0,"33,558",9988
0.0,B01230,2020/07/20,0.0,"29,700",9988
0.0,B01407,2020/07/20,0.0,"28,599",9988
0.0,B01543,2020/07/20,0.0,"28,500",9988
0.0,B01240,2020/07/20,0.0,"25,386",9988
0.0,B01238,2020/07/20,0.0,"25,300",9988
0.0,B01443,2020/07/20,0.0,"25,200",9988
0.0,B01782,2020/07/20,0.0,"23,900",9988
0.0,B01606,2020/07/20,0.0,"23,400",9988
0.0,B01141,2020/07/20,0.0,"20,800",9988
0.0,B01481,2020/07/20,0.0,"18,930",9988
0.0,B01725,2020/07/20,0.0,"16,500",9988
0.0,B01897,2020/07/20,0.0,"16,201",9988
0.0,B02077,2020/07/20,0.0,"15,600",9988
